time,interval,temperature_2m,apparent_temperature,relative_humidity_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,city
2025-06-29T03:00,900,19.1,21.8,97,3.8,229,6.8,0.0,0.0,0.0,0.0,3,82,1020.1,1019.3,Toamasina
2025-06-28T19:00,900,29.1,32.1,66,13.7,125,25.9,0.0,0.0,0.0,0.0,0,0,1015.9,1013.6,Houston
2025-06-29T02:00,900,27.6,26.0,26,5.0,360,11.9,0.0,0.0,0.0,0.0,1,45,1021.2,947.3,Madrid
2025-06-29T01:00,900,33.2,28.1,14,22.8,84,31.7,0.0,0.0,0.0,0.0,0,0,1014.4,954.5,Algerie
2025-06-29T03:00,900,15.0,16.2,100,3.1,144,9.0,0.0,0.0,0.0,0.0,45,92,1023.3,896.2,Fianarantsoa
2025-06-29T03:00,900,33.8,31.7,16,5.3,332,12.2,0.0,0.0,0.0,0.0,0,0,994.3,990.3,Baghdad
2025-06-29T03:00,900,20.7,22.7,90,9.7,132,13.3,0.0,0.0,0.0,0.0,0,0,1019.9,1019.0,Toliara
2025-06-28T17:00,900,26.2,25.5,49,16.2,258,19.4,0.0,0.0,0.0,0.0,0,4,1012.9,1002.4,Los Angeles
2025-06-29T03:00,900,16.5,17.2,88,4.7,266,9.7,0.0,0.0,0.0,0.0,2,75,1015.2,780.0,Addis Ababa
2025-06-29T02:00,900,24.2,25.1,59,7.0,291,18.7,0.0,0.0,0.0,0.0,1,35,1022.8,1002.0,Vienna
2025-06-29T03:00,900,25.1,28.6,76,4.7,99,7.2,0.0,0.0,0.0,0.0,1,40,1016.5,1015.0,Mahajanga
2025-06-29T02:00,900,20.8,20.5,78,18.0,236,33.1,0.0,0.0,0.0,0.0,0,0,1023.1,1022.5,Amsterdam
2025-06-30T01:00,900,29.0,31.0,49,4.1,315,7.6,0.0,0.0,0.0,0.0,0,0,1012.8,1007.8,Casablanca
2025-06-30T01:00,900,22.6,27.3,95,1.3,56,2.9,0.0,0.0,0.0,0.0,45,22,1017.0,1013.0,Algiers
2025-06-30T03:00,900,11.9,9.4,80,14.4,273,39.2,0.0,0.0,0.0,0.0,3,99,992.0,975.5,Moscow
2025-06-30T09:00,900,28.0,33.0,75,5.6,243,12.2,0.0,0.0,0.0,0.0,0,7,1013.2,1012.6,Osaka
2025-06-30T02:00,900,17.2,15.1,53,10.2,328,27.0,0.0,0.0,0.0,0.0,2,89,1022.5,1018.1,Berlin
2025-06-30T09:00,900,25.5,30.9,89,3.3,167,23.0,0.0,0.0,0.0,0.0,1,29,1010.8,1006.9,Seoul
2025-06-30T00:00,900,25.5,30.8,91,5.9,232,13.3,0.1,0.0,0.1,0.0,80,86,1013.5,1007.7,Abidjan
2025-06-30T08:00,900,27.7,32.8,83,9.4,86,18.4,0.1,0.0,0.1,0.0,80,100,1006.3,1003.9,Hong Kong
